host,message,timestamp,level,error_type
600a0c2a69e8ea1c,"[92 kB] Teams: Sending teams message: ❗ Error state cleared but device is out of sync.
❗ The lid has been tampered with.",2025-04-01 13:44:59+00:00,Error,out of sync
600a0c2a69e8ea1c,"[93 kB] Teams: Sending teams message: 🚨 Error alert is active.
Roller: Aligning. Sachet edge not found after loading '4' sachets",2025-04-01 13:44:58+00:00,Error,out of sync
600a0c2a69e8ea1c,[36 kB] Roller: Aligning. Sachet edge not found after loading '4' sachets,2025-04-01 13:44:55+00:00,ERROR,out of sync
600a0c2a69e87ec6,[141 kB] Teams: Sending teams message: ⏳ Pre-administration is 4.75 hours early.,2025-04-01 13:15:09+00:00,LOG,pre_admin
600a0c2a69e87f9e,[182 kB] Teams: Sending teams message: 🔋 Running on battery.,2025-04-01 12:23:18+00:00,LOG,running on battery
600a0c2a69e87eca,[152 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:08+00:00,LOG,missed dose
600a0c2a69e87eca,[152 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:08+00:00,LOG,missed dose
600a0c2a69e87eca,[152 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:08+00:00,LOG,missed dose
600a0c2a69e87eca,[152 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:08+00:00,LOG,missed dose
600a0c2a69e87eca,[152 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:08+00:00,LOG,missed dose
600a0c2a69e87eca,[152 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:08+00:00,LOG,missed dose
600a0c2a69e87eca,[152 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:08+00:00,LOG,missed dose
600a0c2a69e87eca,[152 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:08+00:00,LOG,missed dose
600a0c2a69e87eca,[152 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:08+00:00,LOG,missed dose
600a0c2a69e87eca,[152 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:08+00:00,LOG,missed dose
600a0c2a69e87eca,[152 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:08+00:00,LOG,missed dose
600a0c2a69e87eca,[152 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:08+00:00,LOG,missed dose
600a0c2a69e87eca,[152 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:08+00:00,LOG,missed dose
600a0c2a69e87eca,[152 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:08+00:00,LOG,missed dose
600a0c2a69e87eca,[152 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:08+00:00,LOG,missed dose
600a0c2a69e87eca,[152 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:08+00:00,LOG,missed dose
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:02+00:00,LOG,missed dose
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:02+00:00,LOG,missed dose
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:02+00:00,LOG,missed dose
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:02+00:00,LOG,missed dose
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:02+00:00,LOG,missed dose
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:02+00:00,LOG,missed dose
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:02+00:00,LOG,missed dose
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:02+00:00,LOG,missed dose
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:02+00:00,LOG,missed dose
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:02+00:00,LOG,missed dose
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:02+00:00,LOG,missed dose
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:02+00:00,LOG,missed dose
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:02+00:00,LOG,missed dose
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:02+00:00,LOG,missed dose
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:02+00:00,LOG,missed dose
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:02+00:00,LOG,missed dose
600a0c2a69e8e93a,[107 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:02+00:00,LOG,missed dose
600a0c2a69e87f4e,[159 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:01+00:00,LOG,missed dose
600a0c2a69e87e0e,[139 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:00+00:00,LOG,missed dose
600a0c2a69e87e0e,[139 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:00+00:00,LOG,missed dose
600a0c2a69e87e0e,[139 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:00+00:00,LOG,missed dose
600a0c2a69e87e0e,[139 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:00+00:00,LOG,missed dose
600a0c2a69e87e0e,[139 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:00+00:00,LOG,missed dose
600a0c2a69e87e0e,[139 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:00+00:00,LOG,missed dose
600a0c2a69e87e0e,[139 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:00+00:00,LOG,missed dose
600a0c2a69e87e0e,[139 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:00+00:00,LOG,missed dose
600a0c2a69e87e0e,[139 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:00+00:00,LOG,missed dose
600a0c2a69e87e0e,[139 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:00+00:00,LOG,missed dose
600a0c2a69e87e0e,[139 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:00+00:00,LOG,missed dose
600a0c2a69e87e0e,[139 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:00+00:00,LOG,missed dose
600a0c2a69e87e0e,[139 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:00+00:00,LOG,missed dose
600a0c2a69e87e0e,[139 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:00+00:00,LOG,missed dose
600a0c2a69e87e0e,[139 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:00+00:00,LOG,missed dose
600a0c2a69e87e0e,[139 kB] Teams: Sending teams message: 🔴 Scheduled dose missed.,2025-04-01 11:00:00+00:00,LOG,missed dose
